City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Saint-Francois,FR,46.4154,3.9054,31.41,98,8,2.3,clear sky
121,Progreso,MX,21.2833,-89.6667,66.11,77,100,16.84,overcast clouds
122,Amuntai,ID,-2.4177,115.2494,72.72,98,100,1.74,overcast clouds
123,Pemberton,CA,50.3164,-122.8027,42.49,98,100,5.1,overcast clouds
124,Skelleftea,SE,64.7507,20.9528,21.56,93,0,11.5,clear sky
125,Constantine,DZ,36.365,6.6147,40.41,93,20,5.75,few clouds
126,Znamenskoye,RU,57.1281,73.8282,-5.8,99,48,5.19,scattered clouds
127,Tyrma,RU,50.0833,132.1667,-5.1,95,100,1.01,overcast clouds
128,Xinqing,CN,48.2333,129.5,11.84,84,100,1.19,overcast clouds
129,Waipawa,NZ,-41.4122,175.5153,73.45,75,100,7.92,overcast clouds
130,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,40,11.5,scattered clouds
131,Asheboro,US,35.7079,-79.8136,42.08,74,0,4.61,clear sky
132,Russell,US,32.3502,-85.1999,53.2,64,0,0.0,clear sky
133,Kondopoga,RU,62.2057,34.2614,20.88,99,100,1.92,overcast clouds
134,Maragogi,BR,-9.0122,-35.2225,79.0,77,13,6.38,few clouds
135,Klaksvik,FO,62.2266,-6.589,36.52,70,84,40.42,broken clouds
136,Faanui,PF,-16.4833,-151.75,81.32,76,52,18.45,broken clouds
137,Beloha,MG,-25.1667,45.05,73.94,88,81,9.84,broken clouds
138,Esperance,AU,-33.8667,121.9,71.44,59,35,4.12,scattered clouds
139,Lebu,CL,-37.6167,-73.65,59.27,79,6,18.16,clear sky
140,Visnes,NO,59.3556,5.2242,45.21,81,100,27.63,overcast clouds
141,Roebourne,AU,-20.7833,117.1333,87.42,61,6,4.18,clear sky
142,Turukhansk,RU,65.8167,87.9833,-17.01,92,100,5.68,overcast clouds
143,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
144,Mangai,CD,-4.05,19.5333,73.8,79,99,1.86,overcast clouds
145,Cheremnoye,RU,53.1697,83.2133,-3.41,100,26,6.53,scattered clouds
146,Akdagmadeni,TR,39.6603,35.8836,36.55,76,98,17.65,overcast clouds
147,Kavaratti,IN,10.5669,72.642,78.42,72,100,12.39,overcast clouds
