City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
185,Castro,BR,61.38,few clouds,-24.7911,-50.0119,CHACARA BAILLY
186,Vao,NC,81.18,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
188,Vila Velha,BR,78.94,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
190,Arraial Do Cabo,BR,72.28,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
192,Broken Hill,AU,82.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
195,Vaitape,PF,81.36,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
196,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
197,Sibiti,CG,68.16,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
200,Tera,NE,71.71,clear sky,14.0078,0.7531,Hotel Dar es salam
201,Taltal,CL,67.01,clear sky,-25.4,-70.4833,Residencial Karime
204,Los Chiles,CR,76.12,few clouds,11.0333,-84.7167,Cabinas y Apartamentos Felicia
205,Flinders,AU,87.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
206,Puerto Madryn,AR,64.54,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
208,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
209,Cidreira,BR,69.82,clear sky,-30.1811,-50.2056,Hotel Castelo
210,Umm Kaddadah,SD,60.28,clear sky,13.6017,26.6876,
214,Pagudpud,PH,76.96,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
215,Sunbury,AU,80.02,broken clouds,-37.5833,144.7333,Sunbury Motor Inn
216,Port Elizabeth,ZA,62.89,broken clouds,-33.918,25.5701,39 On Nile Guest House
218,Whyalla,AU,71.49,broken clouds,-33.0333,137.5833,Foreshore Motor Inn
219,Eyl,SO,71.2,clear sky,7.9803,49.8164,Amiin Hotel
221,Inhambane,MZ,71.02,clear sky,-23.865,35.3833,Oceano
222,Ahipara,NZ,81.48,clear sky,-35.1667,173.1667,Ahipara Holiday Park
224,Richards Bay,ZA,67.42,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
225,Tambura,SS,68.18,overcast clouds,5.6,27.4667,Rikito Lodge
226,Adelaide,AU,75.42,broken clouds,-34.9333,138.6,The Chancellor on Currie
227,Pathein,MM,65.89,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
232,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
234,Atar,MR,72.07,overcast clouds,20.5169,-13.0499,Oumou Elghoura
235,Barao De Melgaco,BR,79.32,moderate rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
237,Fonte Boa,BR,70.99,light rain,-2.4959,-66.2662,
238,Isangel,VU,78.67,overcast clouds,-19.55,169.2667,Tanna Lodge
239,Syriam,MM,66.31,mist,16.7722,96.2378,Excel River View Hotel
240,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
